Relative Time,Date,Time Stamp UTC,Volt,Volt,PSI ,Pounds
1391.02,45906,0.944548611,0.100097656,0.099487305,70.1751709,1.855530931
1391.03,45906,0.944548611,0.098876953,0.099487305,69.03076172,1.583419048
1391.04,45906,0.944548611,0.098876953,0.098876953,68.11523438,1.515391077
1391.05,45906,0.944548611,0.09765625,0.098571777,66.9708252,1.481377091
1391.06,45906,0.944548611,0.09765625,0.098266602,65.82641602,1.481377091
1391.07,45906,0.944548611,0.09765625,0.098571777,64.91088867,1.685461004
1391.08,45906,0.944548611,0.09765625,0.098876953,63.76647949,1.957572887
1391.09,45906,0.944548611,0.098876953,0.098876953,63.07983398,2.127642814
1391.1,45906,0.944548611,0.098876953,0.099487305,62.16430664,2.501796653
1391.11,45906,0.944548611,0.100097656,0.100097656,61.47766113,3.386160273
1391.12,45906,0.944548611,0.100097656,0.101013184,60.56213379,4.338551863
1391.13,45906,0.944548611,0.101318359,0.101928711,60.10437012,5.018831571
1391.14,45906,0.944548611,0.101318359,0.102233887,59.41772461,5.461013381
1391.15,45906,0.944548611,0.101318359,0.102233887,58.7310791,5.563055337
1391.16,45906,0.944548611,0.101318359,0.101623535,57.81555176,5.086859542
1391.17,45906,0.944548611,0.098876953,0.09979248,57.35778809,3.896370053
1391.18,45906,0.944548611,0.09765625,0.09765625,56.67114258,2.501796653
1391.19,45906,0.944548611,0.096435547,0.096740723,55.98449707,1.753488974
1391.2,45906,0.944548611,0.096435547,0.096435547,55.06896973,1.583419048
1391.21,45906,0.944548611,0.096435547,0.096435547,54.38232422,1.583419048
1391.22,45906,0.944548611,0.096435547,0.096435547,53.92456055,1.617433033
1391.23,45906,0.944548611,0.096435547,0.096435547,53.92456055,1.617433033
1391.24,45906,0.944548611,0.096435547,0.096435547,53.92456055,1.617433033
1391.25,45906,0.944548611,0.095214844,0.095825195,53.92456055,1.515391077
1391.26,45906,0.944548611,0.095214844,0.09552002,53.92456055,1.379335135
1391.27,45906,0.944548611,0.095214844,0.09552002,53.92456055,1.277293179
1391.28,45906,0.944548611,0.095214844,0.095825195,53.69567871,1.209265208
1391.29,45906,0.944548611,0.095214844,0.095825195,53.46679688,1.209265208
1391.3,45906,0.944548611,0.095214844,0.096130371,52.78015137,1.209265208
1391.31,45906,0.944548611,0.095214844,0.096435547,51.86462402,1.209265208
1391.32,45906,0.944548611,0.095214844,0.096740723,50.72021484,1.209265208
1391.33,45906,0.944548611,0.095214844,0.097351074,50.03356934,1.209265208
1391.34,45906,0.944548611,0.095214844,0.09765625,48.88916016,1.209265208
1391.35,45906,0.944548611,0.095214844,0.098266602,47.97363281,1.209265208
1391.36,45906,0.944548611,0.095214844,0.098571777,47.2869873,1.243279194
1391.37,45906,0.944548611,0.095214844,0.098571777,46.82922363,1.243279194
1391.38,45906,0.944548611,0.096435547,0.097961426,46.37145996,1.243279194
1391.39,45906,0.944548611,0.096435547,0.09765625,45.91369629,1.209265208
1391.4,45906,0.944548611,0.09765625,0.096435547,45.45593262,1.209265208
1391.41,45906,0.944548611,0.09765625,0.09552002,44.76928711,1.175251223
1391.42,45906,0.944548611,0.09765625,0.094604492,44.54040527,1.175251223
1391.43,45906,0.944548611,0.098876953,0.094604492,44.31152344,1.141237238
1391.44,45906,0.944548611,0.098876953,0.094299316,43.85375977,1.107223252
1391.45,45906,0.944548611,0.09765625,0.094299316,43.16711426,1.039195281
1391.46,45906,0.944548611,0.09765625,0.094299316,42.70935059,1.039195281
